player_id,player_name,position,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0037248,J.Cook,RB,MIA,3,3,108,1,10,0,0,0,20.8,17.8
00-0036252,M.Pittman,WR,LAC,9,7,0,0,58,1,0,0,20.8,13.8
00-0036275,D.Swift,RB,NO,1,1,124,1,14,0,0,0,20.8,19.8
00-0036963,A.St. Brown,WR,BAL,8,7,0,0,77,1,0,0,20.7,13.7
00-0033119,J.Brissett,QB,IND,0,0,19,0,0,0,320,2,20.7,20.7
00-0036389,J.Hurts,QB,NYG,0,0,13,1,0,0,283,1,20.62,20.62
00-0038543,J.Smith-Njigba,WR,NO,6,5,0,0,96,1,0,0,20.6,15.600000000000001
00-0036963,A.St. Brown,WR,TB,10,6,0,0,86,1,0,0,20.6,14.6
00-0038976,M.Mims,WR,CIN,6,6,16,1,69,0,0,0,20.5,14.5
00-0035662,M.Brown,WR,DET,4,4,0,0,45,2,0,0,20.5,16.5
00-0036997,J.Williams,RB,PHI,3,2,54,2,10,0,0,0,20.4,18.4
00-0038117,W.Robinson,WR,PHI,7,6,0,0,84,1,0,0,20.4,14.4
00-0032268,M.Mariota,QB,LV,0,0,40,1,0,0,207,1,20.28,20.28
00-0039732,B.Nix,QB,IND,0,0,20,0,0,0,206,3,20.240000000000002,20.240000000000002
00-0036358,C.Lamb,WR,NYG,11,9,0,0,112,0,0,0,20.200000000000003,11.200000000000001
